id,name,image_url,brand,category,product_type,price,description,tryon_ready
19,Relaxed Street Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/109.jpg,StyleSprint,jeans,Straight Fit Jeans,49.99,"Curated straight fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
20,Sharp Fit Black Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/115.jpg,StyleSprint,jeans,Slim Fit Jeans,59.99,"Curated slim fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
21,Blue Ridge Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/121.jpg,StyleSprint,jeans,Relaxed Denim Jeans,54.99,"Curated relaxed denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
22,Metro Slim Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/127.jpg,StyleSprint,jeans,Tapered Jeans,74.99,"Curated tapered jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
23,Easy Fit Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/133.jpg,StyleSprint,jeans,Washed Blue Jeans,67.99,"Curated washed blue jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
24,Raw Look Denim Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/139.jpg,StyleSprint,jeans,Black Denim Jeans,46.99,"Curated black denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
25,Slate Wash Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/145.jpg,StyleSprint,jeans,Straight Fit Jeans,49.99,"Curated straight fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
26,Classic Bootcut Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/151.jpg,StyleSprint,jeans,Slim Fit Jeans,59.99,"Curated slim fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
27,Weekend Straight Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/157.jpg,StyleSprint,jeans,Relaxed Denim Jeans,54.99,"Curated relaxed denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
28,Deep Charcoal Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/163.jpg,StyleSprint,jeans,Tapered Jeans,74.99,"Curated tapered jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
29,Minimal Blue Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/169.jpg,StyleSprint,jeans,Washed Blue Jeans,67.99,"Curated washed blue jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
30,Signature Fit Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/175.jpg,StyleSprint,jeans,Black Denim Jeans,46.99,"Curated black denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
31,Soft Black Denim,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/181.jpg,StyleSprint,jeans,Straight Fit Jeans,49.99,"Curated straight fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
32,Cloud Wash Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/187.jpg,StyleSprint,jeans,Slim Fit Jeans,59.99,"Curated slim fit jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
33,Tailored Denim Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/193.jpg,StyleSprint,jeans,Relaxed Denim Jeans,54.99,"Curated relaxed denim jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
34,Essential Blue Jeans,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/jeans/199.jpg,StyleSprint,jeans,Tapered Jeans,74.99,"Curated tapered jeans from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
35,Essential Cotton T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/1.jpg,StyleSprint,tshirt,Essential T-Shirt,19.99,"Curated essential t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
36,Oversized Street Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/7.jpg,StyleSprint,tshirt,Graphic T-Shirt,29.99,"Curated graphic t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
37,Classic Crew Neck Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/13.jpg,StyleSprint,tshirt,Oversized T-Shirt,27.99,"Curated oversized t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
38,Minimal Graphic T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/19.jpg,StyleSprint,tshirt,Crew Neck T-Shirt,21.99,"Curated crew neck t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
39,Soft Jersey T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/25.jpg,StyleSprint,tshirt,Printed T-Shirt,33.99,"Curated printed t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
40,Premium Everyday Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/31.jpg,StyleSprint,tshirt,Premium Cotton T-Shirt,34.99,"Curated premium cotton t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
41,Relaxed Fit T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/37.jpg,StyleSprint,tshirt,Essential T-Shirt,19.99,"Curated essential t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
42,Vintage Wash Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/43.jpg,StyleSprint,tshirt,Graphic T-Shirt,19.99,"Curated graphic t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
43,Clean Logo T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/49.jpg,StyleSprint,tshirt,Oversized T-Shirt,37.99,"Curated oversized t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
44,Urban Basic Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/55.jpg,StyleSprint,tshirt,Crew Neck T-Shirt,21.99,"Curated crew neck t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
45,Boxy Fit T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/61.jpg,StyleSprint,tshirt,Printed T-Shirt,23.99,"Curated printed t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
46,Lightweight Summer Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/67.jpg,StyleSprint,tshirt,Premium Cotton T-Shirt,44.99,"Curated premium cotton t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
47,Core White T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/73.jpg,StyleSprint,tshirt,Essential T-Shirt,19.99,"Curated essential t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
48,Deep Tone Graphic Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/79.jpg,StyleSprint,tshirt,Graphic T-Shirt,29.99,"Curated graphic t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
49,Soft Touch Crew Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/85.jpg,StyleSprint,tshirt,Oversized T-Shirt,27.99,"Curated oversized t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
50,Everyday Black Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/91.jpg,StyleSprint,tshirt,Crew Neck T-Shirt,21.99,"Curated crew neck t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
51,Weekend Cotton Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/97.jpg,StyleSprint,tshirt,Printed T-Shirt,33.99,"Curated printed t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
52,Modern Fit T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/103.jpg,StyleSprint,tshirt,Premium Cotton T-Shirt,29.99,"Curated premium cotton t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
53,Street Print Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/109.jpg,StyleSprint,tshirt,Essential T-Shirt,19.99,"Curated essential t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
54,Washed Crew T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/115.jpg,StyleSprint,tshirt,Graphic T-Shirt,19.99,"Curated graphic t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
55,Premium Plain Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/121.jpg,StyleSprint,tshirt,Oversized T-Shirt,37.99,"Curated oversized t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
56,Classic Stripe T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/127.jpg,StyleSprint,tshirt,Crew Neck T-Shirt,21.99,"Curated crew neck t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
57,Relaxed Graphic Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/133.jpg,StyleSprint,tshirt,Printed T-Shirt,23.99,"Curated printed t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
58,Essential Round Neck Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/139.jpg,StyleSprint,tshirt,Premium Cotton T-Shirt,39.99,"Curated premium cotton t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
59,Soft Oversized Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/145.jpg,StyleSprint,tshirt,Essential T-Shirt,19.99,"Curated essential t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
60,Minimal Crew T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/151.jpg,StyleSprint,tshirt,Graphic T-Shirt,29.99,"Curated graphic t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
61,Clean Fit Cotton Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/157.jpg,StyleSprint,tshirt,Oversized T-Shirt,27.99,"Curated oversized t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
62,Vintage Graphic T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/163.jpg,StyleSprint,tshirt,Crew Neck T-Shirt,21.99,"Curated crew neck t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
63,Lightweight Crew Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/169.jpg,StyleSprint,tshirt,Printed T-Shirt,33.99,"Curated printed t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
64,Signature Cotton Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/175.jpg,StyleSprint,tshirt,Premium Cotton T-Shirt,24.99,"Curated premium cotton t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
65,Urban Relaxed Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/181.jpg,StyleSprint,tshirt,Essential T-Shirt,19.99,"Curated essential t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
66,Everyday Jersey Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/187.jpg,StyleSprint,tshirt,Graphic T-Shirt,19.99,"Curated graphic t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
67,Fresh Basic T-Shirt,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/193.jpg,StyleSprint,tshirt,Oversized T-Shirt,37.99,"Curated oversized t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
68,Comfort Fit Tee,https://jygqfwpqcwnxdtipokqc.supabase.co/storage/v1/object/public/products/tshirt/199.jpg,StyleSprint,tshirt,Crew Neck T-Shirt,21.99,"Curated crew neck t-shirt from the StyleSprint catalog, ready for browsing and virtual try-on demos.",true
